Province,,ID,Interview Date,Version,Commune,Nº of prior non-responses ,Do you agree to participate in this survey?    ,1. What commune do you live in?,"2.	Gender       ","3.	What is your age?      ",4.What is the highest level of education you have completed?,"5.	What is your nationality?","6.	What is your ethnicity? ",7.What is your religion? ,8. Which one of these items do you have at home? ,9. Which types of medical care have you used in the last six months?,10. Which types of medical care have you used the most in the last six months?,11.a. [School teachers],11.b. [Scientific medicine practitioners],11.c.  [Traditional Chinese medicine practitioner],11.d. [Traditional Khmer medicine practitioner],"11.e. [Friends (e.g. boyfriend, close friends)]",11.f.[Monks and religious leaders],11.g. [Work colleagues or bosses],11.h. [Community leaders],"11.i.  [Close family (e.g. mother, siblings, wife, grandmother)]",12.a.​ [Cambodia],12.b. [Vietnam],12.c. [Thailand],12.d. [China],12.e. [US],12.f. [Europe],13.a. [TV],13.b.[Radio],13.c.[Newspapers],13.d. [Social Media(e.g. Facebook)],UCT,14. This list is about transportation,15. About medical condition and treatments,16. Thinking of your closest family and friends.,17. NT (a),18. NT (b),19. When was the most recent time you used bear bile or gall bladder for medicinal products?  ,Use_Bile_EVER,20. How often have you used bear bile or gall bladder for medicinal products in the last six months? ,Use_Bile,21.a.[Bear bile/bear gallbladder has medicinal value],21.b.[It is easy to find places to buy bear bile/bear gallbladder ],21.c.[There are effective medicinal alternatives to bear bile/bear gallbladder],21. d. [The use of bear bile/bear gallbladder is an important part of my culture],22.a.[ Most of the people I respect use bear bile or gallbladder for medicinal purposes],22.b.[Most people I respect have difficulty finding bear bile or gall bladder],22.c.[Most people I respect prefer scientific to traditional medicine],"22.d.[Most people I respect prefer bear bile or gall bladder from a Sun bear, not a moon bear]",Other information,Province ,Compaign site,,,,,,,,,
Siem Reap,5/24/2019 9:21,SK097,29/03/2019,A,Sla Kram,0,Yes,Sla Kram,Female,34,None,Cambodian,Khmer,Buddhist,"TV, Mobile phone, Motorbike, Fan, Washing machine",Western medicine,Western medicine,Don't know,Neither trust nor distrust,Don't know,Don't know,Neither trust nor distrust,Distrust,Neither trust nor distrust,Neither trust nor distrust,Trust,Trust,Completely distrust,Neither trust nor distrust,Completely distrust,Completely trust,Completely trust,Distrust,Don't know,Distrust,Distrust,Green (A),3,2,0-5%,0,0,Between 1-5 years ago,1,Never ,0,Strongly Agree,Strongly Disagree,Don’t know,Agree,Agree,Strongly Agree,Agree,Don’t know,None,Siem Reap,Control site,,,,,,,,,
Siem Reap,5/31/2019 10:05,KR119,25/04/2019,B,Krabei Riel,0,Yes,Krabei Riel,Female,52,None,Cambodian,Khmer,Buddhist,"TV, Mobile phone, Bicycle, Motorbike, Fan","Western medicine, Traditional Khmer medicine",Western medicine,Trust,Completely trust,Distrust,Trust,Neither trust nor distrust,Trust,Neither trust nor distrust,Trust,Completely trust,Trust,Trust,Trust,Trust,Trust,Trust,Completely trust,Completely trust,Don't know,Don't know,Red (B),1,2,0-5%,0,0,More than 5 years ago,1,Never ,0,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Don’t know,None,Siem Reap,Additional site for demand survey ,,,,,,,,,
Siem Reap,5/29/2019 13:38,KR162,27/04/2019,B,Krabei Riel,2,Yes,Krabei Riel,Female,40,Literacy certificate,Cambodian,Khmer,Buddhist,"TV, Mobile phone, Bicycle, Motorbike, Fan",Western medicine,Western medicine,Trust,Completely trust,Completely distrust,Distrust,Trust,Trust,Trust,Trust,Completely trust,Trust,Completely distrust,Trust,Distrust,Trust,Trust,Distrust,Distrust,Trust,Completely distrust,Red (B),2,2,0-5%,0,0,More than 5 years ago,1,Never ,0,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Neither agree nor disagree,None,Siem Reap,Additional site for demand survey ,,,,,,,,,
Siem Reap,5/27/2019 14:12,SK092,28/03/2019,A,Sla Kram,0,Yes,Sla Kram,Female,72,None,Cambodian,"Khmer, Chinese",Buddhist,"TV, Mobile phone, Computer/Laptop, Fridge/Freezer, Bicycle, Motorbike, Car/Van, Air conditioner, Fan",None,None,Completely distrust,Completely trust,Don't know,Distrust,Completely distrust,Distrust,Completely distrust,Completely distrust,Completely distrust,Don't know,Don't know,Completely trust,Don't know,Trust,Trust,Trust,Completely distrust,Don't know,Completely distrust,Green (A),0,1,0-5%,0,0,More than 5 years ago,1,Never ,0,Strongly Agree,Don’t know,Don’t know,Agree,Don’t know,Agree,Disagree,Don’t know,None,Siem Reap,Control site,,,,,,,,,
Siem Reap,5/24/2019 9:32,SK098,29/03/2019,B,Sla Kram,0,Yes,Sla Kram,Female,67,None,Cambodian,Khmer,Buddhist,Mobile phone,Traditional Khmer medicine,Traditional Khmer medicine,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Don't know,Trust,Trust,Don't know,Don't know,Don't know,Trust,Trust,Don't know,Don't know,Don't know,Don't know,Red (B),2,2,0-5%,0,0,More than 5 years ago,1,Never ,0,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Agree,Disagree,Disagree,None,Siem Reap,Control site,,,,,,,,,
Siem Reap,5/21/2019 10:42,SP057,6/4/2019,A,Siem Reap,0,Yes,Siem Reap,Female,62,Primary school,Cambodian,Khmer,Buddhist,"TV, Mobile phone, Motorbike, Boat, Fan","Western medicine, Traditional Khmer medicine",Western medicine,Trust,Trust,Don't know,Trust,Distrust,Trust,Distrust,Neither trust nor distrust,Trust,Trust,Distrust,Distrust,Distrust,Distrust,Distrust,Distrust,Distrust,Distrust,Distrust,Green (A),2,2,0-5%,0,0,More than 5 years ago,1,Never ,0,Agree,Disagree,Agree,Disagree,Disagree,Don’t know,Neither agree nor disagree,Don’t know,None,Siem Reap,Treatment,,,,,,,,,
Siem Reap,5/23/2019 13:35,SP113,7/4/2019,A,Siem Reap,0,Yes,Siem Reap,Male,61,None,Cambodian,Khmer,Buddhist,Mobile phone,Western medicine,Western medicine,Neither trust nor distrust,Completely trust,Completely distrust,Completely distrust,Distrust,Distrust,Distrust,Neither trust nor distrust,Trust,Don't know,Distrust,Distrust,Trust,Trust,Trust,Distrust,Distrust,Distrust,Completely distrust,Green (A),1,1,0-5%,0,0,More than 5 years ago,1,Never ,0,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,None,Siem Reap,Treatment,,,,,,,,,
Siem Reap,5/28/2019 10:05,SP182,7/4/2019,B,Siem Reap,1,Yes,Siem Reap,Female,42,None,Cambodian,Khmer,Buddhist,"TV, Mobile phone, Bicycle, Motorbike, Fan",Western medicine,Western medicine,Trust,Trust,Distrust,Distrust,Distrust,Distrust,Neither trust nor distrust,Trust,Trust,Don't know,Completely distrust,Neither trust nor distrust,Neither trust nor distrust,Don't know,Trust,Completely trust,Trust,Distrust,Distrust,Red (B),2,2,0-5%,0,0,More than 5 years ago,1,Never ,0,Strongly Agree,Strongly Disagree,Don’t know,Agree,Strongly Disagree,Strongly Agree,Neither agree nor disagree,Strongly Disagree,None,Siem Reap,Treatment,,,,,,,,,
Siem Reap,5/30/2019 13:29,KR001,23/04/2019,B,Krabei Riel,0,Yes,Krabei Riel,Male,31,None,Cambodian,Khmer,Buddhist,"TV, Mobile phone, Bicycle, Motorbike, Fan",Western medicine,Western medicine,Neither trust nor distrust,Trust,Completely distrust,Completely trust,Trust,Trust,Neither trust nor distrust,Neither trust nor distrust,Trust,Neither trust nor distrust,Distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Distrust,Distrust,Distrust,Distrust,Red (B),2,3,0-5%,0,0,Never,0,Never ,0,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Don’t know,Strongly Agree,Strongly Disagree,Strongly Disagree,None,Siem Reap,Additional site for demand survey ,,,,,,,,,
Siem Reap,5/30/2019 13:40,KR002,25/04/2019,A,Krabei Riel,0,Yes,Krabei Riel,Male,57,Literacy certificate,Cambodian,Khmer,Buddhist,"TV, Mobile phone, Bicycle, Motorbike, Fan",Western medicine,Western medicine,Don't know,Completely trust,Don't know,Trust,Trust,Completely trust,Trust,Trust,Completely trust,Don't know,Completely distrust,Trust,Distrust,Completely trust,Completely trust,Trust,Trust,Don't know,Don't know,Green (A),3,2,0-5%,0,0,Never,0,Never ,0,Don’t know,Strongly Disagree,Strongly Agree,Neither agree nor disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Don’t know,None,Siem Reap,Additional site for demand survey ,,,,,,,,,
